sample_id	cluster	phenotype
X8	H40	53.79
X5	H7	34.44
S15	H24	45.13
R9	H40	54.74
R43	H21	37.07
R40	H23	38.64
R39	H40	53.53
R34	H26	47.53
R25	H24	43.97
R18	H29	58.72
R13	H32	34.65
L9	H29	60.00
L4	H9	46.77
L36	H29	60.00
L30	H22	47.37
L29	H40	52.04
L24	H14	49.12
L23	H40	51.90
L2	H40	54.65
L19	H1	39.93
L18	H29	59.72
L15	H40	52.31
L14	H2	48.50
L13	H13	39.77
C9	H4	20.00
C5	H29	59.47
C28	H40	54.13
C20	H5	43.88
C18	H40	53.95
C12	H29	60.00
B4	H40	56.55
B34	H40	52.72
B32	H28	45.90
B29	H37	46.78
B23	H38	40.92
B18	H22	48.36
B17	H20	49.83
B11	H40	52.07
L26	H17	42.76
L11	H6	45.98
B9	H40	54.45
B8	H9	47.48
B7	H40	52.34
B6	H40	53.68
B5	H40	53.51
B37	H10	40.33
B36	H37	49.31
B35	H40	53.67
B31	H37	49.02
B30	H40	53.43
B3	H36	48.43
B28	H40	54.28
B27	H40	51.15
B26	H37	47.52
B25	H33	44.29
B24	H40	52.38
B21	H27	47.59
B20	H40	55.58
B2	H40	52.03
B15	H12	44.79
B14	H40	50.81
B13	H40	52.83
B12	H40	53.58
B10	H16	40.88
B1	H40	54.40
X18	H0	37.55
L12	H3	35.84
C8	H29	59.31
C6	H40	54.62
C4	H38	39.71
C35	H29	58.09
C34	H25	44.01
C32	H34	38.62
C31	H40	54.08
C27	H39	50.21
C25	H37	49.04
C24	H34	39.36
C23	H40	53.57
C22	H40	54.27
C21	H40	52.87
C19	H40	54.02
C14	H18	51.01
C10	H15	42.31
X15	H11	36.57
X1	H40	51.54
W8	H37	48.73
W6	H40	52.63
W35	H40	53.35
W2	H40	54.05
X7	H8	43.17
X4	H22	47.66
X2	H35	39.85
S17	H31	39.93
R31	H22	46.55
R26	H30	45.47
L5	H40	51.16
L37	H22	44.68
L34	H40	51.84
L32	H19	50.60
L31	H40	51.98
