sample_id	cluster	phenotype
X8	H1	53.40
X5	H2	27.67
S15	H1	49.70
R9	H1	54.35
R43	H1	40.60
R40	H3	39.56
R39	H1	53.13
R34	H1	47.76
R25	H1	48.55
R18	H1	53.39
R13	H1	47.20
L9	H1	55.83
L4	H1	54.77
L36	H1	56.36
L30	H1	51.29
L29	H1	51.65
L24	H1	44.55
L23	H1	51.50
L2	H1	54.26
L19	H2	27.20
L18	H1	54.39
L15	H1	51.92
L14	H1	60.00
L13	H2	38.43
C9	H1	47.05
C5	H1	54.14
C28	H1	53.74
C20	H1	47.21
C18	H1	53.56
C12	H1	55.31
B4	H1	56.15
B34	H1	52.33
B32	H1	48.56
B29	H1	47.01
B23	H1	49.16
B18	H1	52.28
B17	H1	46.50
B11	H1	51.68
L26	H1	44.65
L11	H1	52.98
B9	H1	54.06
B8	H1	55.48
B7	H1	51.94
B6	H1	53.29
B5	H1	53.12
B37	H2	34.45
B36	H1	49.54
B35	H1	53.28
B31	H1	49.25
B30	H1	53.04
B3	H1	50.91
B28	H1	53.89
B27	H1	50.76
B26	H1	47.76
B25	H1	47.53
B24	H1	51.98
B21	H1	50.06
B20	H1	55.18
B2	H1	51.64
B15	H1	48.12
B14	H1	50.42
B13	H1	52.44
B12	H1	53.19
B10	H1	44.41
B1	H1	54.01
X18	H2	20.00
L12	H2	25.63
C8	H1	53.97
C6	H1	54.23
C4	H1	47.95
C35	H1	52.75
C34	H1	41.83
C32	H1	44.50
C31	H1	53.69
C27	H1	50.80
C25	H1	49.27
C24	H1	45.24
C23	H1	53.18
C22	H1	53.88
C21	H1	52.48
C19	H1	53.63
C14	H1	48.34
C10	H2	38.12
X15	H2	35.90
X1	H1	51.15
W8	H1	48.97
W6	H1	52.24
W35	H1	52.96
W2	H1	53.66
X7	H2	36.67
X4	H1	51.59
X2	H1	43.38
S17	H4	40.80
R31	H1	50.47
R26	H1	44.14
L5	H1	50.77
L37	H1	48.60
L34	H1	51.45
L32	H1	47.27
L31	H1	51.58
