H1:	R40
H2:	S17
H3:	R18,L9,L36,L18,C5,C12,C8,C35
H4:	X8,R9,R39,L29,L23,L2,L15,C28,C18,B4,B34,B11,B9,B7,B6,B5,B35,B30,B28,B27,B24,B20,B2,B14,B13,B12,B1,C6,C31,C23,C22,C21,C19,X1,W6,W35,W2,L5,L34,L31
H5:	L4,L30,B18,B8,C27,X4,R31,L37
H6:	S15,R25
H7:	B3
H8:	B21
H9:	L14
H10:	L11
H11:	R34
H12:	B25
H13:	L26
H14:	R26
H15:	B29,B36,B31,B26,C25,W8
H16:	C14
H17:	C34,L32
H18:	L24
H19:	B15
H20:	B10
H21:	C20,B17
H22:	R43,X2
H23:	B23,C4
H24:	B32,C32,C24
H25:	R13
H26:	C9
H27:	B37,X7
H28:	L13,X15
H29:	C10
H30:	X5
H31:	L12
H32:	L19
H33:	X18
